date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:29	81134/-1	---M--	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2008:14:33%20GMT	https://boxshop.by/	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/index.html	(from )
11:15:29	12157/12157	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Feb%202024%2008:14:32%20GMT	https://boxshop.by/robots.txt		(from )
11:15:29	1406/1406	---M--	200	added ('OK')	image/x-icon	etag:%2254d3c270-57e%22	https://boxshop.by/favicon.ico	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/favicon.ico	(from https://boxshop.by/)
11:15:29	23850/23850	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2254c27622-1bb5a%22	https://boxshop.by/assets/templates/narayana/lib/bootstrap/css/bootstrap.min.css	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/lib/bootstrap/css/bootstrap.min.css	(from https://boxshop.by/)
11:15:30	3831/3831	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2257069b07-56af%22	https://boxshop.by/assets/templates/narayana/css/template.css	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/css/template.css	(from https://boxshop.by/)
11:15:30	3990/3990	---MCZ	200	added ('OK')	text/css	etag:W/%2254c2760d-f96%22	https://boxshop.by/assets/templates/narayana/css/media.css	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/css/media.css	(from https://boxshop.by/)
11:15:30	95786/95786	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254c27610-1762a%22	https://boxshop.by/assets/templates/narayana/lib/jquery.min.js	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/lib/jquery.min.js	(from https://boxshop.by/)
11:15:30	15248/15248	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254c27610-3b90%22	https://boxshop.by/assets/templates/narayana/lib/jquery.form.min.js	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/lib/jquery.form.min.js	(from https://boxshop.by/)
11:15:31	3206/3206	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254c27610-c86%22	https://boxshop.by/assets/templates/narayana/lib/jquery.countdown.plugin.min.js	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/lib/jquery.countdown.plugin.min.js	(from https://boxshop.by/)
11:15:31	13325/13325	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254c27610-340d%22	https://boxshop.by/assets/templates/narayana/lib/jquery.countdown.min.js	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/lib/jquery.countdown.min.js	(from https://boxshop.by/)
11:15:31	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254c2761d-4b9f%22	https://boxshop.by/assets/templates/narayana/lib/bxslider/jquery.bxslider.min.js	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/lib/bxslider/jquery.bxslider.min.js	(from https://boxshop.by/)
11:15:31	9769/9769	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254c27610-2629%22	https://boxshop.by/assets/templates/narayana/lib/jquery.simplemodal.1.4.4.min.js	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/lib/jquery.simplemodal.1.4.4.min.js	(from https://boxshop.by/)
11:15:32	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225501b9d3-160b%22	https://boxshop.by/assets/templates/narayana/js/template.js	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/js/template.js	(from https://boxshop.by/)
11:15:32	11726/11726	---M--	200	added ('OK')	image/png	etag:%2254c2760f-2dce%22	https://boxshop.by/assets/templates/narayana/img/logo.png	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/img/logo.png	(from https://boxshop.by/)
11:15:32	14863/14863	---M--	200	added ('OK')	image/png	etag:%2254c2760f-3a0f%22	https://boxshop.by/assets/templates/narayana/img/icon-1.png	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/img/icon-1.png	(from https://boxshop.by/)
11:15:32	17452/17452	---M--	200	added ('OK')	image/png	etag:%2254c2760f-442c%22	https://boxshop.by/assets/templates/narayana/img/icon-2.png	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/img/icon-2.png	(from https://boxshop.by/)
11:15:33	14383/14383	---M--	200	added ('OK')	image/png	etag:%2254c2760f-382f%22	https://boxshop.by/assets/templates/narayana/img/icon-3.png	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/img/icon-3.png	(from https://boxshop.by/)
11:15:33	15911/15911	---M--	200	added ('OK')	image/png	etag:%2254c2760f-3e27%22	https://boxshop.by/assets/templates/narayana/img/icon-4.png	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/templates/narayana/img/icon-4.png	(from https://boxshop.by/)
11:15:33	119499/119499	---M--	200	added ('OK')	image/jpeg	etag:%22638f1841-1d2cb%22	https://boxshop.by/assets/images/600.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/600.jpg	(from https://boxshop.by/)
11:15:33	102602/102602	---M--	200	added ('OK')	image/jpeg	etag:%22659bc095-190ca%22	https://boxshop.by/assets/images/228m.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/228m.jpg	(from https://boxshop.by/)
11:15:33	118855/118855	---M--	200	added ('OK')	image/jpeg	etag:%22638f188a-1d047%22	https://boxshop.by/assets/images/300.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/300.jpg	(from https://boxshop.by/)
11:15:34	92597/92597	---M--	200	added ('OK')	image/jpeg	etag:%2263d3ab55-169b5%22	https://boxshop.by/assets/images/Items/papka_dlya_docs.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/Items/papka_dlya_docs.jpg	(from https://boxshop.by/)
11:15:34	113687/113687	---M--	200	added ('OK')	image/jpeg	etag:%2263d3ab65-1bc17%22	https://boxshop.by/assets/images/Items/Glue1.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/Items/Glue1.jpg	(from https://boxshop.by/)
11:15:34	78696/78696	---M--	200	added ('OK')	image/jpeg	etag:%2263d3ac40-13368%22	https://boxshop.by/assets/images/Items/sbor.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/Items/sbor.jpg	(from https://boxshop.by/)
11:15:34	146720/146720	---M--	200	added ('OK')	image/jpeg	etag:%2263d3cdc8-23d20%22	https://boxshop.by/assets/images/Items/Zcarb.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/Items/Zcarb.jpg	(from https://boxshop.by/)
11:15:35	71308/71308	---M--	200	added ('OK')	image/jpeg	etag:%2263d3aada-1168c%22	https://boxshop.by/assets/images/Items/pizzza_box.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/Items/pizzza_box.jpg	(from https://boxshop.by/)
11:15:35	140120/140120	---M--	200	added ('OK')	image/jpeg	etag:%22659bc2e9-22358%22	https://boxshop.by/assets/images/pizza30.jpg	F:/%d0%a8%d0%b0%d0%ba%d0%b8%d0%bd%d0%ba%d0%be/NarajanaWebSite/narajana/boxshop.by/assets/images/pizza30.jpg	(from https://boxshop.by/)
